listing_id,date
15165034,2017-01-06
15165034,2017-01-07
15165034,2017-01-08
15165034,2017-01-11
15165034,2017-01-12
15165034,2017-01-16
15165034,2017-01-20
15165034,2017-01-22
15165034,2017-01-24
15165034,2017-01-25
15165034,2017-01-29
15165034,2017-01-30
15165034,2017-01-31
15165034,2017-02-02
15165034,2017-02-03
15165034,2017-02-05
15165034,2017-02-08
15165034,2017-02-11
15165034,2017-02-17
15165034,2017-02-19
15165034,2017-02-20
15165034,2017-02-21
15165034,2017-02-23
15165034,2017-02-24
15165034,2017-02-26
15165034,2017-03-02
15165034,2017-03-03
15165034,2017-03-05
15165034,2017-03-09
15165034,2017-03-10
15165034,2017-03-14
15165034,2017-03-15
15165034,2017-03-17
15165034,2017-03-23
15165034,2017-03-24
15165034,2017-03-26
15165034,2017-03-27
15165034,2017-03-28
15165034,2017-03-30
15165034,2017-04-01
15165034,2017-04-04
15165034,2017-04-05
15165034,2017-04-06
15165034,2017-04-07
15165034,2017-04-10
15165034,2017-04-12
15165034,2017-04-14
15165034,2017-04-16
15165034,2017-04-18
15165034,2017-04-21
15165034,2017-04-24
15165034,2017-04-25
15165034,2017-04-27
15165034,2017-05-01
15165034,2017-05-05
15165034,2017-05-06
15165034,2017-05-07
15165034,2017-05-08
15165034,2017-05-09
15165034,2017-05-10
15165034,2017-05-12
15165034,2017-05-14
15165034,2017-05-17
15165034,2017-05-20
15165034,2017-05-22
15165034,2017-05-24
15165034,2017-05-26
15165034,2017-05-27
15165034,2017-05-28
15165034,2017-06-02
15165034,2017-06-03
15165034,2017-06-04
15165034,2017-06-05
15165034,2017-06-06
15165034,2017-06-09
15165034,2017-06-10
15165034,2017-06-11
15165034,2017-06-12
15165034,2017-06-13
15165034,2017-06-15
15165034,2017-06-17
15165034,2017-06-22
15165034,2017-06-23
15165034,2017-06-28
15165034,2017-06-29
15165034,2017-07-01
15165034,2017-07-01
15165034,2017-07-04
15165034,2017-07-05
15165034,2017-07-07
15165034,2017-07-09
15165034,2017-07-10
15165034,2017-07-11
15165034,2017-07-12
15165034,2017-07-14
15165034,2017-07-18
15165034,2017-07-24
15165034,2017-07-29
15165034,2017-08-02
15165034,2017-08-03
15165034,2017-08-04
15165034,2017-08-06
15165034,2017-08-11
15165034,2017-08-13
15165034,2017-08-14
15165034,2017-08-15
15165034,2017-08-16
15165034,2017-08-19
15165034,2017-08-21
15165034,2017-08-22
15165034,2017-08-23
15165034,2017-08-25
15165034,2017-08-26
15165034,2017-08-27
15165034,2017-08-31
15165034,2017-09-02
15165034,2017-09-03
15165034,2017-09-05
15165034,2017-09-10
15165034,2017-09-11
15165034,2017-09-13
15165034,2017-09-15
15165034,2017-09-16
15165034,2017-09-19
15165034,2017-09-20
15165034,2017-09-23
15165034,2017-09-28
15165034,2017-10-01
15165034,2017-10-07
15165034,2017-10-08
15165034,2017-10-09
15165034,2017-10-10
15165034,2017-10-12
15165034,2017-10-15
15165034,2017-10-16
15165034,2017-10-18
15165034,2017-10-21
15165034,2017-10-22
15165034,2017-10-24
15165034,2017-11-04
15165034,2017-11-12
15165034,2017-11-19
15165034,2017-11-24
15165034,2017-12-04
15165034,2017-12-06
15165034,2017-12-19
15165034,2017-12-22
15165034,2017-12-24
15165034,2017-12-26
15165034,2017-12-28
15165034,2018-01-01
15165034,2018-01-08
15165034,2018-01-14
15165034,2018-01-15
15165034,2018-01-23
15165034,2018-01-26
15165034,2018-01-27
15165034,2018-02-01
15165034,2018-02-21
15165034,2018-02-25
15165034,2018-03-08
15165034,2018-03-09
15165034,2018-03-11
15165034,2018-03-13
15165034,2018-03-16
15165034,2018-03-17
15165034,2018-03-18
15165034,2018-03-19
15165034,2018-03-22
15165034,2018-03-29
15165034,2018-03-30
15165034,2018-03-31
15165034,2018-04-01
15205029,2016-11-07
15205029,2016-11-18
15205029,2016-11-27
15205029,2016-12-24
15205029,2016-12-26
15205029,2016-12-28
15205029,2016-12-30
15205029,2017-01-02
15205029,2017-01-06
15205029,2017-01-17
15205029,2017-01-20
15205029,2017-01-29
15205029,2017-02-06
15205029,2017-02-20
15205029,2017-03-03
15205029,2017-03-31
15205029,2017-04-16
15205029,2017-04-22
15205029,2017-05-29
15205029,2017-06-04
15205029,2017-06-11
15205029,2017-07-03
15205029,2017-07-06
15205029,2017-07-29
15205029,2017-08-06
15205029,2017-08-21
15205029,2017-09-23
15205029,2017-11-26
15205029,2017-12-10
15205029,2017-12-19
15205029,2017-12-29
15205029,2018-02-18
15205029,2018-03-18
15205029,2018-03-23
15205029,2018-03-27
15205029,2018-04-10
15205029,2018-04-15
15328797,2016-10-29
15328797,2016-10-31
15328797,2016-11-06
15328797,2016-11-13
15328797,2016-11-22
15328797,2016-12-02
15328797,2016-12-11
15328797,2016-12-19
15328797,2016-12-22
15328797,2016-12-29
15328797,2017-01-01
15328797,2017-01-09
15328797,2017-01-16
15328797,2017-01-18
15328797,2017-01-28
15328797,2017-01-30
15328797,2017-02-12
15328797,2017-02-19
15328797,2017-02-21
15328797,2017-02-24
15328797,2017-02-28
15328797,2017-03-13
15328797,2017-03-19
15328797,2017-03-22
15328797,2017-03-28
15328797,2017-03-30
15328797,2017-04-02
15328797,2017-04-05
15328797,2017-04-08
15328797,2017-04-19
15328797,2017-04-23
15328797,2017-04-28
15328797,2017-05-01
15328797,2017-05-05
15328797,2017-05-07
15328797,2017-05-12
15328797,2017-05-14
15328797,2017-05-17
15328797,2017-05-21
15328797,2017-05-28
15328797,2017-06-01
15328797,2017-06-03
15328797,2017-06-10
15328797,2017-06-13
15328797,2017-06-17
15328797,2017-06-24
15328797,2017-06-30
15328797,2017-07-02
15328797,2017-07-04
15328797,2017-07-06
15328797,2017-07-08
15328797,2017-07-14
15328797,2017-07-22
15328797,2017-07-24
15328797,2017-07-28
15328797,2017-08-06
15328797,2017-08-09
15328797,2017-08-11
15328797,2017-08-19
15328797,2017-08-24
15328797,2017-08-27
15328797,2017-09-04
15328797,2017-09-06
15328797,2017-09-10
15328797,2017-09-14
15328797,2017-09-18
15328797,2017-09-21
15328797,2017-09-24
15328797,2017-10-09
15328797,2017-10-14
15328797,2017-10-19
15328797,2017-10-22
15328797,2017-10-26
15328797,2017-10-30
15328797,2017-11-05
15328797,2017-11-12
15328797,2017-11-19
15328797,2017-11-26
15328797,2017-12-03
15328797,2017-12-07
15328797,2017-12-10
15328797,2017-12-26
15328797,2017-12-30
15328797,2018-01-01
15328797,2018-01-04
15328797,2018-01-13
15328797,2018-01-27
